architecture,budget_nominal,budget_actual,n_success,fit_failures,T1_r2,T2_r2,dw_r2,eps_r2
superconducting,10700,10698,100,0,0.9480361270896843,0.9719289721316829,0.9945337486198984,0.9612261790421686
superconducting,10750,10752,100,0,0.9444703243545219,0.9708895144076272,0.993781360190887,0.9645970947062389
superconducting,10800,10797,100,0,0.9606082438905968,0.9706680415264515,0.9920493253937173,0.9619647006871104
superconducting,10850,10851,100,0,0.9547509138990479,0.976967320153242,0.9941369844197867,0.9693502995274937
superconducting,10900,10902,100,0,0.9487551662569247,0.9726540761512854,0.992563002546436,0.9709707222570721
superconducting,10950,10950,100,0,0.9590497255027405,0.9724721119044378,0.9942429422516672,0.9720411313336257
superconducting,11000,11001,100,0,0.95436274891878,0.9697850813480102,0.9949242741953027,0.9688961974029906
superconducting,11050,11049,100,0,0.9581317794854887,0.9701765755943649,0.9959236906954635,0.9603723351422362
superconducting,11100,11100,100,0,0.9456843301668038,0.9685641460577583,0.9925609060237609,0.9743323407895494
superconducting,11150,11148,100,0,0.9550384867092983,0.9712966758980962,0.99408428605866,0.9646545530307581
superconducting,11200,11199,100,0,0.9585875618068491,0.970631871624997,0.9936251192950076,0.9721667377184905
superconducting,11250,11247,100,0,0.9435514881106508,0.9775555353598925,0.9937927063941039,0.9696617065983253
superconducting,11300,11298,100,0,0.9480408797435421,0.9621651669486281,0.9946315522503231,0.9725117011800868
superconducting,11350,11346,100,0,0.9502661188402662,0.9767596376943106,0.9937187750862982,0.9663741529833852
superconducting,11400,11403,100,0,0.9506509704061181,0.9743549259525556,0.994261804019103,0.9689036800693809
superconducting,11450,11451,100,0,0.9596402046887429,0.9721269265652017,0.9958045860328352,0.9667249346134142
superconducting,11500,11502,100,0,0.9512970253765665,0.9778184032241093,0.9934455999686415,0.963826134771361
superconducting,11550,11550,100,0,0.9505718076421319,0.9713842510927468,0.9950162473707996,0.9756134680482602
superconducting,11600,11604,100,0,0.9582822867255445,0.9751386989186587,0.9940587478890496,0.9696583531663628
superconducting,11650,11649,100,0,0.9579360620612526,0.9727962222037643,0.9934243088767137,0.9608170873471475
superconducting,11700,11703,100,0,0.9576493985958432,0.9814923934312395,0.9946354955761978,0.9707008737182211
superconducting,11750,11748,100,0,0.9545563125115359,0.9769508518431081,0.9961224213104085,0.9583673820946887
superconducting,11800,11802,100,0,0.959231591026049,0.9773877418180826,0.9929828489873092,0.9649453568000588
superconducting,11850,11847,100,0,0.9579407664182524,0.9708966900617796,0.9931557195862617,0.9609331607313011
superconducting,11900,11901,100,0,0.9417822181226272,0.9816077525604693,0.9952445710513205,0.9680304644820001
superconducting,11950,11952,100,0,0.9337549846066615,0.9756155149706525,0.9937355233093054,0.9708733382145225
superconducting,12000,12000,100,0,0.9528933093379579,0.9751024854311945,0.993324320600115,0.9679681353376371
superconducting,12050,12051,100,0,0.9653329651676229,0.9775167314064862,0.9947664000970786,0.9493653809259737
superconducting,12100,12099,100,0,0.9593634889237483,0.9746777107794817,0.9930349319484283,0.9660569459604522
superconducting,12150,12150,100,0,0.9322461227603899,0.9745248138810146,0.994335875211584,0.9656349513708344
superconducting,12200,12198,100,0,0.9578934786568922,0.9766195989130692,0.9940268224222542,0.974444056139789
superconducting,12250,12249,100,0,0.9587386166514643,0.9809643964900383,0.9945864463352849,0.9670679437844295
superconducting,12300,12297,100,0,0.9639725557766764,0.9810848029069075,0.9953219426439338,0.9646269973151094
superconducting,12350,12348,100,0,0.9574076850251092,0.9827656977876532,0.9938103196956759,0.9666847544910726
superconducting,12400,12402,100,0,0.9576057385986776,0.9763972243577684,0.9937799682537137,0.976169379315559
superconducting,12450,12453,100,0,0.9502979955432173,0.9795861106500229,0.9946584242096853,0.9648471647533755
superconducting,12500,12501,100,0,0.9455419561444578,0.9795304235331391,0.9933957189280236,0.9634514388724643
superconducting,12550,12552,100,0,0.9456627053602543,0.9770677620841702,0.992077640350996,0.9754903135534922
superconducting,12600,12600,100,0,0.954184117005761,0.9807981947921847,0.9952421510253101,0.9662609614502963
superconducting,12650,12651,100,0,0.9675305455167383,0.972841948132997,0.9954647233392049,0.9719265405593647
superconducting,12700,12699,100,0,0.9674092799965452,0.9744489170465779,0.9944334229764678,0.9706290740285067
superconducting,12750,12750,100,0,0.961693522770242,0.974456266531719,0.9949157616538913,0.9648514117438984
superconducting,12800,12798,100,0,0.9637837684162771,0.9795799637256695,0.9930842634985189,0.9677085240339769
superconducting,12850,12849,100,0,0.9653791321129173,0.9733596805538184,0.9950883974772419,0.9641836092496208
superconducting,12900,12903,100,0,0.9554198105875076,0.9832807692484655,0.9946054864863304,0.9645803080161129
superconducting,12950,12948,100,0,0.9603505699005424,0.9742525646141417,0.9938311383318298,0.973565162210029
superconducting,13000,13002,100,0,0.9571742757003229,0.9792946017257318,0.9943800095057729,0.9693288428651416
superconducting,13050,13047,100,0,0.9586831057741568,0.9794718012561582,0.9948296994670168,0.9753827992537557
superconducting,13100,13101,100,0,0.959760945721921,0.974487112055545,0.9950024197073556,0.9710733899724089
superconducting,13150,13146,100,0,0.9691236663307538,0.9790920859445966,0.9947250013105626,0.9645674006566453
superconducting,13200,13200,100,0,0.952342171489567,0.979864213622559,0.9932073830004949,0.9715831363350578
superconducting,13250,13248,100,0,0.9645103048375808,0.9755520608549666,0.994801115536131,0.9718155468144563
superconducting,13300,13299,100,0,0.9579844322362191,0.9785735502594866,0.9943590923140577,0.9670233228143508
superconducting,13350,13347,100,0,0.9597096214417402,0.975528629652454,0.995825424397369,0.9778966767791265
superconducting,13400,13404,100,0,0.9652132544534333,0.9816518881184942,0.9935478750012456,0.9717950503931683
superconducting,13450,13452,100,0,0.9569124751056978,0.976282593791224,0.9936373272509029,0.9677135013943592
superconducting,13500,13503,100,0,0.9657944716082515,0.975968807169472,0.9954704799633285,0.9744550575008173
superconducting,13550,13551,100,0,0.9664349140646533,0.9864053427782394,0.9953953116381206,0.9572237469325455
superconducting,13600,13602,100,0,0.9535467204940247,0.9821559370659076,0.9944022970681947,0.9698416236075059
superconducting,13650,13650,100,0,0.9570046649263547,0.9781982065757199,0.9946654661126855,0.9696630793180754
superconducting,13700,13701,100,0,0.9587825116622902,0.9767251735541534,0.9931043431707566,0.9708127447876872
superconducting,13750,13749,100,0,0.949659680776221,0.9722081850324157,0.995875941232884,0.9760808597409056
superconducting,13800,13800,100,0,0.9618940800284586,0.9844083742208404,0.9963530078563778,0.9724731406820436
superconducting,13850,13848,100,0,0.965046247075951,0.9820982815589447,0.9957101757558355,0.9706269278627281
superconducting,13900,13899,100,0,0.960900980577854,0.9752857495210188,0.9944371051589911,0.9727162602232272
superconducting,13950,13953,100,0,0.9617488928885944,0.9791314708535905,0.9938278633682708,0.969556424024639
superconducting,14000,13998,100,0,0.958643832277026,0.9818851560596863,0.995696294651489,0.9681671407618437
superconducting,14050,14052,100,0,0.9666051317481033,0.9803323421374771,0.9951472446840801,0.9781331211420378
