backend_name,qubit_id,timestamp,architecture,T1_s,T1_sigma_s,T2_s,T2_sigma_s,delta_omega,delta_omega_sigma,epsilon_sx,epsilon_sx_sigma,p1_t1,p1_ramsey,p0_gate,t1_delays_s,ramsey_delays_s,gate_rep_N,t1_residual,ramsey_residual,gate_residual
aer_ideal,12,2026-07-12 18:44:16 UTC,trapped_ion,999.9999999,1385.3302757182569,1295.9999103733694,6296.933859836972,0.0,425.23181105919195,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.999999995, 399.99999996, 1499.99999985]","[51.839996414934774, 259.19998207467387, 1295.9999103733694]","[5.0, 10.0, 20.0]",0.7145941891514789,0.10849310221384825,7.491367606574751e-09
aer_ideal,13,2026-07-12 18:44:16 UTC,trapped_ion,999.9999999,1385.3302757182569,1295.9999103733694,6296.933859836972,0.0,425.23181105919195,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.999999995, 399.99999996, 1499.99999985]","[51.839996414934774, 259.19998207467387, 1295.9999103733694]","[5.0, 10.0, 20.0]",0.7145941891514789,0.10849310221384825,7.491367606574751e-09
aer_ideal,14,2026-07-12 18:44:16 UTC,trapped_ion,999.9999999,1385.3302757182569,1295.9999103733694,6296.933859836972,0.0,425.23181105919195,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.999999995, 399.99999996, 1499.99999985]","[51.839996414934774, 259.19998207467387, 1295.9999103733694]","[5.0, 10.0, 20.0]",0.7145941891514789,0.10849310221384825,7.491367606574751e-09
aer_ideal,15,2026-07-12 18:44:17 UTC,trapped_ion,999.9999999,1385.3302757182569,1295.9999103733694,6296.933859836972,0.0,425.23181105919195,1.8888549216945792e-06,1.335707972750823e-06,"[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[49.999999995, 399.99999996, 1499.99999985]","[51.839996414934774, 259.19998207467387, 1295.9999103733694]","[5.0, 10.0, 20.0]",0.7145941891514789,0.10849310221384825,7.491367606574751e-09
aer_realistic,0,2026-07-12 19:15:35 UTC,superconducting,0.00018856779360515463,1.6508620910413614e-06,7.136248617939851e-05,4.461284973318154e-06,-23079.24073058378,689.9323224844843,0.0008627499508927356,5.373373608585379e-05,"[0.962, 0.723, 0.306]","[0.033, 0.143, 0.569]","[0.994, 0.981, 0.967]","[7.499916600000001e-06, 5.9999999400000005e-05, 0.00022499994220000002]","[3.6000844000000002e-06, 1.79999776e-05, 9.000011020000001e-05]","[5.0, 10.0, 20.0]",2.8504441174368254e-05,4.8104476339298936e-05,1.0797906185466382e-05
aer_realistic,1,2026-07-12 19:15:36 UTC,superconducting,0.00010030612826901769,4.936680850945292e-06,0.00011866596747424429,1.6027716606948678e-05,-38039.35539416691,3155.6890768791372,0.0009988717551981951,4.917794119508402e-05,"[0.919, 0.567, 0.085]","[0.029, 0.168, 0.726]","[0.993, 0.98, 0.961]","[7.499916600000001e-06, 5.9999999400000005e-05, 0.00022499994220000002]","[3.6000844000000002e-06, 1.79999776e-05, 9.000011020000001e-05]","[5.0, 10.0, 20.0]",0.0008217472315469381,9.230879638932678e-05,8.88117800089106e-06
aer_realistic,2,2026-07-12 19:15:37 UTC,superconducting,9.642600591113263e-05,8.71700565717673e-07,5.932244716841366e-05,9.077305870674591e-06,-52686.60629651906,968.6478576296174,0.0006520456965102078,4.003400797446052e-05,"[0.93, 0.535, 0.098]","[0.047, 0.281, 0.495]","[0.992, 0.989, 0.974]","[7.499916600000001e-06, 5.9999999400000005e-05, 0.00022499994220000002]","[3.6000844000000002e-06, 1.79999776e-05, 9.000011020000001e-05]","[5.0, 10.0, 20.0]",2.7441487009081395e-05,0.00010063316886759682,6.165614345213271e-06
aer_realistic,3,2026-07-12 19:15:39 UTC,superconducting,0.00015900713867890442,3.746296618056354e-06,0.00010556752767662685,2.7312878597822658e-05,39513.78102369144,4951.5751407148755,0.0005676112765470604,4.370335741317621e-05,"[0.944, 0.678, 0.25]","[0.033, 0.183, 0.697]","[0.993, 0.991, 0.977]","[7.499916600000001e-06, 5.9999999400000005e-05, 0.00022499994220000002]","[3.6000844000000002e-06, 1.79999776e-05, 9.000011020000001e-05]","[5.0, 10.0, 20.0]",0.0002077258816491863,0.00013828822372782067,7.4314336460799125e-06
aer_realistic,4,2026-07-12 19:15:40 UTC,superconducting,0.00015653310878629552,1.5408796478451922e-06,3.400738953311731e-05,2.632483664493412e-06,-12291.010693883942,4139.007909383344,0.0006381966127492279,0.00011123878391404648,"[0.959, 0.68, 0.238]","[0.041, 0.216, 0.483]","[0.987, 0.989, 0.976]","[7.499916600000001e-06, 5.9999999400000005e-05, 0.00022499994220000002]","[3.6000844000000002e-06, 1.79999776e-05, 9.000011020000001e-05]","[5.0, 10.0, 20.0]",3.622385606090403e-05,0.00010577166961187329,4.769119291646398e-05
aer_realistic,5,2026-07-12 19:15:42 UTC,superconducting,0.0001789280394980144,3.7542556390469573e-06,5.560725018899379e-05,9.969312092736975e-07,-50645.27814514909,143.06071928831318,0.0008327808476106188,2.931645842944443e-05,"[0.969, 0.708, 0.288]","[0.04, 0.278, 0.515]","[0.99, 0.984, 0.968]","[7.499916600000001e-06, 5.9999999400000005e-05, 0.00022499994220000002]","[3.6000844000000002e-06, 1.79999776e-05, 9.000011020000001e-05]","[5.0, 10.0, 20.0]",0.00016462470305019937,1.04070132481129e-06,3.227101202868416e-06
aer_realistic,6,2026-07-12 19:15:43 UTC,superconducting,0.00018804003717205205,3.512136138354623e-07,4.649108465439898e-05,3.730833398876971e-06,-59308.63520517092,1166.000577356069,0.00044969722749718113,8.573717201619664e-05,"[0.962, 0.727, 0.302]","[0.056, 0.334, 0.456]","[0.991, 0.994, 0.982]","[7.499916600000001e-06, 5.9999999400000005e-05, 0.00022499994220000002]","[3.6000844000000002e-06, 1.79999776e-05, 9.000011020000001e-05]","[5.0, 10.0, 20.0]",1.2978704162936097e-06,7.610110643895346e-05,2.9057971909527258e-05
aer_realistic,7,2026-07-12 19:15:44 UTC,superconducting,0.00010201330422717954,1.0433910893684375e-06,6.668280932250988e-05,1.3916613383057263e-06,-59238.91530791773,214.81952788348093,0.0008326071959407584,1.1543250719761437e-05,"[0.928, 0.552, 0.115]","[0.035, 0.316, 0.425]","[0.992, 0.983, 0.968]","[7.499916600000001e-06, 5.9999999400000005e-05, 0.00022499994220000002]","[3.6000844000000002e-06, 1.79999776e-05, 9.000011020000001e-05]","[5.0, 10.0, 20.0]",3.565046812844112e-05,4.360850908299331e-06,5.003293054904299e-07
aer_realistic,0,2026-07-12 20:08:17 UTC,neutral_atom,4.229630979532706,0.07600395044318298,0.38583733061364295,0.17073422895071796,-63273.61596623949,1.4644614829276075,0.0014017114807045538,0.0001662658837845699,"[0.943, 0.687, 0.242]","[0.385, 0.224, 0.541]","[0.988, 0.981, 0.942]","[0.2, 1.6, 6.0]","[0.04, 0.2, 1.0]","[5.0, 10.0, 20.0]",0.00012082652315819406,0.004016958769788876,9.619922499935239e-05
aer_realistic,1,2026-07-12 20:08:20 UTC,neutral_atom,3.5233977573759225,0.07658849249603114,5.999999591670413,462.9316757218235,-314166.82956961566,3.7765747587177763,0.0019895358383980578,0.00029690366212636627,"[0.933, 0.632, 0.187]","[0.165, 0.8, 0.299]","[0.972, 0.95, 0.935]","[0.2, 1.6, 6.0]","[0.04, 0.2, 1.0]","[5.0, 10.0, 20.0]",0.0001722258188899222,0.1333553107722331,0.00028370699845004833
aer_realistic,2,2026-07-12 20:08:22 UTC,neutral_atom,3.442437888278586,0.08928140654537896,0.72806069281603,0.11568921932553027,30.01619280658321,0.1306093234293319,0.0005296988794194748,9.300757459835082e-05,"[0.954, 0.619, 0.182]","[0.314, 0.137, 0.476]","[0.991, 0.986, 0.982]","[0.2, 1.6, 6.0]","[0.04, 0.2, 1.0]","[5.0, 10.0, 20.0]",0.0002439222418919216,0.0002292571643516833,3.382923695914556e-05
aer_realistic,3,2026-07-12 20:08:23 UTC,neutral_atom,3.3966366178997385,0.06519940643874947,0.7287556500226219,0.08327843201044866,-65076.77981393104,0.10049366295293763,0.0019527133004794933,0.00024037040919653693,"[0.933, 0.621, 0.176]","[0.612, 0.867, 0.534]","[0.973, 0.973, 0.924]","[0.2, 1.6, 6.0]","[0.04, 0.2, 1.0]","[5.0, 10.0, 20.0]",0.0001332000914393212,0.00011147821503836982,0.00018686166291550347
aer_realistic,4,2026-07-12 20:08:24 UTC,neutral_atom,5.315380856299753,0.07395071045837294,0.8294746270286124,0.0008487152593899444,-314553.9916574153,0.0008919449326060229,0.0005679487359137417,1.6461296330301277e-05,"[0.965, 0.747, 0.319]","[0.975, 0.861, 0.434]","[0.995, 0.988, 0.978]","[0.2, 1.6, 6.0]","[0.04, 0.2, 1.0]","[5.0, 10.0, 20.0]",7.131588274776791e-05,1.1629041466742571e-08,1.0542688531154849e-06
