architecture,noise_class,amplitude,instance_idx,seed,t1,ramsey,echo,gate
neutral_atom,t1_telegraph,0.7,12,77141712,0.6213044723657876,1.970810143384926,1.4312835378727622,0.7660688477328544
neutral_atom,t1_telegraph,0.7,13,77141713,0.08981347403599602,0.2912554176474731,0.12774466141879756,1.3380216035764683
neutral_atom,t1_telegraph,0.7,14,77141714,0.5139992465550146,12.410124250094077,0.1746793568309273,6.291777118796158
neutral_atom,t1_telegraph,0.7,15,77141715,1.6111686527302727,1.555351666033205,0.9406869885667559,0.4053215940201868
neutral_atom,t1_telegraph,0.7,16,77141716,3.2816097305552487,1.3260735969555668,0.5657874485390648,0.17415233102952504
neutral_atom,t1_telegraph,0.7,17,77141717,0.5218323494102508,1.1426279232518304,0.1888148306101982,0.17520976829739116
neutral_atom,t1_telegraph,0.7,18,77141718,1.368132192256672,4.156974847908032,0.624756191882653,0.40319009858311217
neutral_atom,t1_telegraph,0.7,19,77141719,0.42381314030816225,1.437410921268105,1.3992716374980363,0.3914897815932782
neutral_atom,t1_telegraph,0.8,0,77141800,1.0180739737820286,2.038609022255606,0.21588563087298,0.190969441312756
neutral_atom,t1_telegraph,0.8,1,77141801,3.547523427041501,13.794582593035525,30.888127333774957,0.7962339291256201
neutral_atom,t1_telegraph,0.8,2,77141802,0.4824949124558823,1.4943712252360983,0.3467308924694211,0.06843553050381684
neutral_atom,t1_telegraph,0.8,3,77141803,61.529451137815336,1.6613023199047234,3.0749611616278765,1.6845966428243613
neutral_atom,t1_telegraph,0.8,4,77141804,0.3600285658539802,1.7022258191465482,1.9536919433882138,1.2566201778952952
neutral_atom,t1_telegraph,0.8,5,77141805,25.719544846050493,25.11852899790955,22.20763821713808,0.2441510784172068
neutral_atom,t1_telegraph,0.8,6,77141806,1.3646115984954408,2.143389438663717,0.15991693699107,0.6063476622744952
neutral_atom,t1_telegraph,0.8,7,77141807,3.4245550241265525,11.55179760631203,0.7051201348591964,2.267602630368502
neutral_atom,t1_telegraph,0.8,8,77141808,0.2844705865778464,2.719235363215111,1.2427309709798813,0.470167447389799
neutral_atom,t1_telegraph,0.8,9,77141809,0.6025161774501184,2.095708953449237,1.5909389290445797,0.305356389572796
neutral_atom,t1_telegraph,0.8,10,77141810,2.358410368001885,2.277787826834651,11.97228760758152,3.6054841161391877
neutral_atom,t1_telegraph,0.8,11,77141811,1.4425282406071265,2.7739154616217427,0.6920943702524143,0.02171752090276276
neutral_atom,t1_telegraph,0.8,12,77141812,2.3279371127071538,2.143402826580075,1.5728689993031066,3.295705328502314
neutral_atom,t1_telegraph,0.8,13,77141813,1.959607563307443,0.3980170381826689,1.7688217071592476,0.35928100433451005
