architecture,noise_class,amplitude,probe,mean_chi2_dof,ci_lo,ci_hi,n
superconducting,t1_telegraph,0.1,t1,2.018921692335497,1.4888521585096515,2.6550206924225392,20
superconducting,t1_telegraph,0.1,ramsey,1.2662714054384177,0.7417446010843616,1.953786938139549,20
superconducting,t1_telegraph,0.1,echo,0.9284823539129162,0.6184281509831291,1.3033384375942938,20
superconducting,t1_telegraph,0.1,gate,1.7955328817153053,1.112875188353141,2.539163352357817,20
superconducting,t1_telegraph,0.2,t1,1.8931979502780556,1.402069967061818,2.524171197475983,20
superconducting,t1_telegraph,0.2,ramsey,1.3795971432648113,0.852614136771144,1.9074721308726494,20
superconducting,t1_telegraph,0.2,echo,0.869169829799406,0.6143618911739117,1.1892272987646275,20
superconducting,t1_telegraph,0.2,gate,0.9641549318083564,0.5486835908334802,1.42923612907128,20
superconducting,t1_telegraph,0.3,t1,4.976397347460195,2.8907629306650766,7.525470632871847,20
superconducting,t1_telegraph,0.3,ramsey,1.0588335111670493,0.7294017706901825,1.4598901125014925,20
superconducting,t1_telegraph,0.3,echo,1.2646223986875391,0.8950630137430841,1.620312851881036,20
superconducting,t1_telegraph,0.3,gate,1.3769407629364236,0.9254626555365345,1.926619475490276,20
superconducting,t1_telegraph,0.4,t1,8.803291910387228,2.182909627565782,20.55953953374961,20
superconducting,t1_telegraph,0.4,ramsey,1.0269525403076343,0.773214543796384,1.299799022777856,20
superconducting,t1_telegraph,0.4,echo,0.939247173893957,0.5316829165344513,1.404382174768965,20
superconducting,t1_telegraph,0.4,gate,1.2201412370486275,0.8208769370098462,1.645389484643625,20
superconducting,t1_telegraph,0.55,t1,7.283179246135951,4.052285144422807,11.84829862131678,20
superconducting,t1_telegraph,0.55,ramsey,1.222020320506416,0.9268057933317538,1.5363218874117044,20
superconducting,t1_telegraph,0.55,echo,0.9802026229860148,0.6665680566468568,1.345402170161253,20
superconducting,t1_telegraph,0.55,gate,2.1453847366280585,1.295840493196489,3.181690805286163,20
superconducting,t1_telegraph,0.7,t1,19.147489229196687,10.094982121064868,28.970428230478916,20
superconducting,t1_telegraph,0.7,ramsey,1.13031422277855,0.7106568350504215,1.6369705592194024,20
superconducting,t1_telegraph,0.7,echo,1.4459101069393596,0.9341276077286841,1.9550658389411797,20
superconducting,t1_telegraph,0.7,gate,3.4160703478856407,1.9411609685211881,5.3207565110621164,20
superconducting,t1_telegraph,0.8,t1,58.46773675155312,31.23641283920408,88.85493954892031,20
superconducting,t1_telegraph,0.8,ramsey,6.342311426248236,2.055701562788638,11.703464237562047,20
superconducting,t1_telegraph,0.8,echo,4.431552370849023,2.3740805559416995,6.531120618016914,20
superconducting,t1_telegraph,0.8,gate,5.623538672436788,3.2081915355402084,8.79458208000731,20
superconducting,quasistatic_dephasing,0.0,t1,1.279063652499483,0.9562942530059534,1.6365215672430984,20
superconducting,quasistatic_dephasing,0.0,ramsey,1.3464232495096689,0.9414048482381189,1.8913683701214599,20
superconducting,quasistatic_dephasing,0.0,echo,0.82315874565193,0.5552786596377909,1.1435562578424983,20
superconducting,quasistatic_dephasing,0.0,gate,1.5626059441210258,0.9280315766507836,2.254883415339612,20
superconducting,quasistatic_dephasing,0.05,t1,1.5288183579657022,1.2880357000721832,1.7839201506271123,20
superconducting,quasistatic_dephasing,0.05,ramsey,1.2802031674351428,0.8786240877702679,1.7678519120696292,20
superconducting,quasistatic_dephasing,0.05,echo,0.8221598636728368,0.4977954525378895,1.1655956919792088,20
superconducting,quasistatic_dephasing,0.05,gate,1.778859540134303,1.1195476348574225,2.5028746553439163,20
superconducting,quasistatic_dephasing,0.1,t1,1.6963180494974313,1.3273001572244718,2.07137646655411,20
superconducting,quasistatic_dephasing,0.1,ramsey,1.3109810325846634,0.9675893522504234,1.715949962707261,20
superconducting,quasistatic_dephasing,0.1,echo,0.9807264743513304,0.6665576207866384,1.308376262278924,20
superconducting,quasistatic_dephasing,0.1,gate,1.191555694975129,0.7699425331404257,1.6350153312513724,20
superconducting,quasistatic_dephasing,0.2,t1,1.3639028590355444,1.0402642973611012,1.7188254434427626,20
superconducting,quasistatic_dephasing,0.2,ramsey,1.2101276434170658,0.9267157171894026,1.4795592056123086,20
superconducting,quasistatic_dephasing,0.2,echo,0.9706292082289842,0.5826152026741324,1.4056509022126795,20
superconducting,quasistatic_dephasing,0.2,gate,1.550404444044016,0.8295363621156926,2.4476159922815826,20
superconducting,quasistatic_dephasing,0.35,t1,1.3780069529026746,1.0406614168683574,1.7609331576815181,20
superconducting,quasistatic_dephasing,0.35,ramsey,1.7985593105146145,1.2596757297675538,2.3978488272263077,20
superconducting,quasistatic_dephasing,0.35,echo,1.0896165576751722,0.7448590970816148,1.4882253941805323,20
superconducting,quasistatic_dephasing,0.35,gate,1.2283845336987012,0.6831835777712189,1.860935776428105,20
superconducting,quasistatic_dephasing,0.5,t1,1.2415903459602224,0.8560321173105779,1.668820778707177,20
superconducting,quasistatic_dephasing,0.5,ramsey,2.9825073847959436,1.9917383638219794,4.152356098173955,20
superconducting,quasistatic_dephasing,0.5,echo,1.363457895695889,0.9300309383356552,1.8255492969304141,20
superconducting,quasistatic_dephasing,0.5,gate,1.4436065246173047,0.924770374531829,2.0501648796789826,20
superconducting,quasistatic_dephasing,0.7,t1,1.385472581120539,1.0121695320452382,1.7865170988445291,20
superconducting,quasistatic_dephasing,0.7,ramsey,3.926312927224058,2.651715952823285,5.3601355502314965,20
superconducting,quasistatic_dephasing,0.7,echo,1.02521111757387,0.5765888013792959,1.6054478709114155,20
superconducting,quasistatic_dephasing,0.7,gate,1.596870714346214,0.9811130805848827,2.336934909266267,20
superconducting,quasistatic_dephasing,0.95,t1,1.4618987348965902,1.2057484020180886,1.7283150747365432,20
superconducting,quasistatic_dephasing,0.95,ramsey,5.625186200813773,3.479334207230554,8.114535643250356,20
superconducting,quasistatic_dephasing,0.95,echo,0.8832040267085155,0.5383660924397488,1.280765233125211,20
superconducting,quasistatic_dephasing,0.95,gate,1.3967736867303429,0.8983048753905064,1.9263494320797077,20
superconducting,quasistatic_dephasing,1.2,t1,1.338575848331814,1.0302368541022306,1.6929713864076794,20
superconducting,quasistatic_dephasing,1.2,ramsey,5.083415804299428,3.684819335537975,6.587425102686042,20
superconducting,quasistatic_dephasing,1.2,echo,1.1994150908435917,0.7562456750619505,1.5863639694006877,20
superconducting,quasistatic_dephasing,1.2,gate,1.4992284448447109,0.9479875233793826,2.1546344196781684,20
superconducting,coherent_gate,0.0,t1,1.266366706641215,0.9874122969691197,1.5309439750535843,20
superconducting,coherent_gate,0.0,ramsey,1.2160777360492583,0.9249269913374448,1.513122370848987,20
superconducting,coherent_gate,0.0,echo,0.6156102595944191,0.3878757082300209,0.8561597108975162,20
superconducting,coherent_gate,0.0,gate,1.527734534320367,0.9426883568823488,2.2220338480776216,20
superconducting,coherent_gate,0.005,t1,1.2012654345619134,0.8556953925465274,1.61167727411613,20
superconducting,coherent_gate,0.005,ramsey,1.2824696676600509,0.9382841620203498,1.690475760486163,20
superconducting,coherent_gate,0.005,echo,1.148632781525245,0.7419976363576017,1.558599310942185,20
superconducting,coherent_gate,0.005,gate,9.44296544917795,5.992340239977046,13.144531309077,20
superconducting,coherent_gate,0.01,t1,1.9694669147852477,1.3400319087474837,2.6420380366601224,20
superconducting,coherent_gate,0.01,ramsey,1.5584095276907233,0.9616955954126499,2.2685313520782584,20
superconducting,coherent_gate,0.01,echo,0.8686082920520685,0.6003070194993014,1.1506941346328574,20
