shots,architecture,parameter,r2
5900,neutral_atom,epsilon_sx,0.946664
6000,superconducting,T1,0.901379
6000,superconducting,T2,0.918339
6000,superconducting,delta_omega,0.993076
6000,superconducting,epsilon_sx,0.976155
6000,trapped_ion,T1,0.993599
6000,trapped_ion,T2,0.977459
6000,trapped_ion,delta_omega,0.995051
6000,trapped_ion,epsilon_sx,0.976786
6000,neutral_atom,T1,0.888042
6000,neutral_atom,T2,0.953461
6000,neutral_atom,delta_omega,0.921741
6000,neutral_atom,epsilon_sx,0.966680
6100,superconducting,T1,0.928908
6100,superconducting,T2,0.912792
6100,superconducting,delta_omega,0.993403
6100,superconducting,epsilon_sx,0.982917
6100,trapped_ion,T1,0.992299
6100,trapped_ion,T2,0.977617
6100,trapped_ion,delta_omega,0.996398
6100,trapped_ion,epsilon_sx,0.970814
6100,neutral_atom,T1,0.935814
6100,neutral_atom,T2,0.949473
6100,neutral_atom,delta_omega,0.955686
6100,neutral_atom,epsilon_sx,0.935833
6200,superconducting,T1,0.905845
6200,superconducting,T2,0.906178
6200,superconducting,delta_omega,0.992962
6200,superconducting,epsilon_sx,0.984295
6200,trapped_ion,T1,0.991943
6200,trapped_ion,T2,0.979335
6200,trapped_ion,delta_omega,0.991249
6200,trapped_ion,epsilon_sx,0.977464
6200,neutral_atom,T1,0.890522
6200,neutral_atom,T2,0.931269
6200,neutral_atom,delta_omega,0.954173
6200,neutral_atom,epsilon_sx,0.947258
6300,superconducting,T1,0.897983
6300,superconducting,T2,0.926126
6300,superconducting,delta_omega,0.994871
6300,superconducting,epsilon_sx,0.972636
6300,trapped_ion,T1,0.991859
6300,trapped_ion,T2,0.981466
6300,trapped_ion,delta_omega,0.995578
6300,trapped_ion,epsilon_sx,0.979595
6300,neutral_atom,T1,0.915296
6300,neutral_atom,T2,0.943490
6300,neutral_atom,delta_omega,0.957775
6300,neutral_atom,epsilon_sx,0.946342
6400,superconducting,T1,0.936512
6400,superconducting,T2,0.904084
6400,superconducting,delta_omega,0.994448
6400,superconducting,epsilon_sx,0.981213
6400,trapped_ion,T1,0.994451
6400,trapped_ion,T2,0.977760
6400,trapped_ion,delta_omega,0.991269
6400,trapped_ion,epsilon_sx,0.974028
6400,neutral_atom,T1,0.849513
6400,neutral_atom,T2,0.952655
6400,neutral_atom,delta_omega,0.946969
6400,neutral_atom,epsilon_sx,0.942385
6500,superconducting,T1,0.923612
6500,superconducting,T2,0.889409
6500,superconducting,delta_omega,0.995142
6500,superconducting,epsilon_sx,0.978505
6500,trapped_ion,T1,0.994161
6500,trapped_ion,T2,0.975453
6500,trapped_ion,delta_omega,0.993391
6500,trapped_ion,epsilon_sx,0.983441
6500,neutral_atom,T1,0.929644
6500,neutral_atom,T2,0.958187
6500,neutral_atom,delta_omega,0.939737
6500,neutral_atom,epsilon_sx,0.955399
6600,superconducting,T1,0.907489
6600,superconducting,T2,0.910172
6600,superconducting,delta_omega,0.994358
6600,superconducting,epsilon_sx,0.983629
6600,trapped_ion,T1,0.993794
6600,trapped_ion,T2,0.979971
6600,trapped_ion,delta_omega,0.992813
6600,trapped_ion,epsilon_sx,0.982631
6600,neutral_atom,T1,0.700808
6600,neutral_atom,T2,0.938614
6600,neutral_atom,delta_omega,0.933131
6600,neutral_atom,epsilon_sx,0.952232
6700,superconducting,T1,0.925184
6700,superconducting,T2,0.918510
6700,superconducting,delta_omega,0.995525
6700,superconducting,epsilon_sx,0.984805
6700,trapped_ion,T1,0.992822
6700,trapped_ion,T2,0.975626
6700,trapped_ion,delta_omega,0.990408
6700,trapped_ion,epsilon_sx,0.973685
6700,neutral_atom,T1,0.947841
6700,neutral_atom,T2,0.949928
6700,neutral_atom,delta_omega,0.945682
6700,neutral_atom,epsilon_sx,0.951273
6800,superconducting,T1,0.922999
6800,superconducting,T2,0.896565
6800,superconducting,delta_omega,0.994960
6800,superconducting,epsilon_sx,0.981103
6800,trapped_ion,T1,0.996468
6800,trapped_ion,T2,0.977022
6800,trapped_ion,delta_omega,0.993425
6800,trapped_ion,epsilon_sx,0.980877
6800,neutral_atom,T1,0.877669
