timestamp,F_bell,F_gate,F_coherence,mean_fidelity,mlp_prob,mlp_uncertainty,mlp_verdict,threshold_verdict,ibm_last_calibration
2026-04-16 19:18:13 UTC,0.987,0.989,0.99,0.988667,5e-06,5e-06,STABLE,DRIFTED,2026-04-16 18:04:01 UTC
2026-04-16 19:33:32 UTC,0.987,0.99,0.995,0.990667,0.0,0.0,STABLE,STABLE,2026-04-16 18:04:01 UTC
2026-04-16 19:48:44 UTC,0.988,0.99,0.992,0.99,2e-06,1e-06,STABLE,STABLE,2026-04-16 18:04:01 UTC
2026-04-16 20:03:54 UTC,0.991,0.989,0.986,0.988667,7e-06,1.2e-05,STABLE,DRIFTED,2026-04-16 18:04:01 UTC
2026-04-16 20:19:09 UTC,0.987,0.991,0.992,0.99,1e-06,1e-06,STABLE,STABLE,2026-04-16 18:04:01 UTC
2026-04-16 20:34:59 UTC,0.988,0.99,0.995,0.991,0.0,0.0,STABLE,STABLE,2026-04-16 18:04:01 UTC
2026-04-16 20:50:13 UTC,0.981,0.992,0.991,0.988,1e-06,2e-06,STABLE,DRIFTED,2026-04-16 18:04:01 UTC
2026-04-16 21:05:25 UTC,0.978,0.986,0.988,0.984,1.3e-05,9e-06,STABLE,DRIFTED,2026-04-16 18:04:01 UTC
2026-04-16 21:20:39 UTC,0.981,0.974,0.992,0.982333,4e-06,5e-06,STABLE,DRIFTED,2026-04-16 18:04:01 UTC
2026-04-16 21:35:50 UTC,0.986,0.985,0.992,0.987667,1e-06,1e-06,STABLE,DRIFTED,2026-04-16 18:04:01 UTC
2026-04-16 21:51:03 UTC,0.989,0.986,0.995,0.99,0.0,0.0,STABLE,STABLE,2026-04-16 18:04:01 UTC
2026-04-16 22:19:53 UTC,0.984,0.997,0.995,0.992,0.0,0.0,STABLE,STABLE,2026-04-16 18:04:01 UTC
2026-04-16 22:35:03 UTC,0.987,0.986,0.996,0.989667,0.0,0.0,STABLE,STABLE,2026-04-16 18:04:01 UTC
2026-04-16 22:50:13 UTC,0.993,0.987,0.991,0.990333,1.6e-05,1.6e-05,STABLE,STABLE,2026-04-16 18:04:01 UTC
2026-04-16 23:05:29 UTC,0.988,0.981,0.989,0.986,2.5e-05,2.5e-05,STABLE,DRIFTED,2026-04-16 18:04:01 UTC
2026-04-16 23:20:39 UTC,0.985,0.983,0.998,0.988667,0.0,0.0,STABLE,STABLE,2026-04-16 18:04:01 UTC
2026-04-16 23:35:55 UTC,0.985,0.985,0.994,0.988,0.0,0.0,STABLE,DRIFTED,2026-04-16 18:04:01 UTC
